# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:26:01,-136.900,0.000,-1.200,.
1986/01/18,03:26:06,820.400,-0.100,-0.100,.
1986/01/18,03:26:11,1093.700,-0.100,0.500,.
1986/01/18,03:26:16,410.400,-0.100,0.000,.
1986/01/18,03:26:21,-547.600,-0.100,-1.100,.
1986/01/18,03:26:26,-820.900,0.000,-1.700,.
1986/01/18,03:26:31,-136.900,0.000,-1.200,.
1986/01/18,03:26:36,820.400,-0.100,-0.100,.
1986/01/18,03:26:41,1093.700,-0.100,0.500,.
1986/01/18,03:26:46,410.400,-0.100,0.000,.
1986/01/18,03:26:51,-547.600,-0.100,-1.100,.
1986/01/18,03:26:56,-820.900,0.000,-1.700,.
1986/01/18,03:27:01,-136.900,0.000,-1.200,.
1986/01/18,03:27:06,820.400,-0.100,-0.100,.
1986/01/18,03:27:11,1093.700,-0.100,0.500,.
1986/01/18,03:27:16,410.400,-0.100,0.000,.
1986/01/18,03:27:21,-547.600,-0.100,-1.100,.
1986/01/18,03:27:26,-820.900,0.000,-1.700,.
1986/01/18,03:27:31,-136.900,0.000,-1.200,.
1986/01/18,03:27:36,820.400,-0.100,-0.100,.
1986/01/18,03:27:41,1093.700,-0.100,0.500,.
1986/01/18,03:27:46,410.400,-0.100,0.000,.
1986/01/18,03:27:51,-547.600,-0.100,-1.100,.
1986/01/18,03:27:56,-820.900,0.000,-1.700,.
1986/01/18,03:28:01,-136.900,0.000,-1.200,.
1986/01/18,03:28:06,820.400,-0.100,-0.100,.
1986/01/18,03:28:11,1093.700,-0.100,0.500,.
1986/01/18,03:28:16,410.400,-0.100,0.000,.
1986/01/18,03:28:21,-547.600,-0.100,-1.100,.
1986/01/18,03:28:26,-820.900,0.000,-1.700,.
1986/01/18,03:28:31,-136.900,0.000,-1.200,.
1986/01/18,03:28:36,820.400,-0.100,-0.100,.
1986/01/18,03:28:41,1093.700,-0.100,0.500,.
1986/01/18,03:28:46,410.400,-0.100,0.000,.
1986/01/18,03:28:51,-547.600,-0.100,-1.100,.
1986/01/18,03:28:56,-820.900,0.000,-1.700,.
1986/01/18,03:29:01,-136.900,0.000,-1.200,.
